#SampleID	project_subset	strain	date of birth	Number of mice per cage	Sex	date_sampled	diet	Description
CC1607.001	diet swap	CC019	3/7/16	2	F	7/1/16	1	CC1607.001
CC1607.002	diet swap	CC019	3/7/16	2	M	7/1/16	1	CC1607.002
CC1607.003	diet swap	CC028	5/16/16	2	F	7/1/16	1	CC1607.003
CC1607.004	diet swap	CC028	5/16/16	2	M	7/1/16	1	CC1607.004
CC1607.005	diet swap	CC042	3/18/16	2	M	7/1/16	1	CC1607.005
CC1607.006	diet swap	CC042	5/4/16	3	M	7/1/16	1	CC1607.006
CC1607.007	diet swap	CC061	5/16/16	2	F	7/1/16	1	CC1607.007
CC1607.008	diet swap	CC061	6/16/16	2	M	7/1/16	1	CC1607.008
CC1607.009	diet swap	CC037	5/16/16	2	F	7/1/16	1	CC1607.009
CC1607.010	diet swap	CC037	5/16/16	3	M	7/1/16	1	CC1607.010
CC1607.011	diet swap	CC019	3/7/16	2	F	7/8/16	2	CC1607.011
CC1607.012	diet swap	CC019	3/7/16	2	M	7/8/16	2	CC1607.012
CC1607.013	diet swap	CC028	5/16/16	2	F	7/8/16	2	CC1607.013
CC1607.014	diet swap	CC028	5/16/16	2	M	7/8/16	2	CC1607.014
CC1607.015	diet swap	CC042	3/18/16	2	M	7/8/16	2	CC1607.015
CC1607.016	diet swap	CC042	5/4/16	3	M	7/8/16	2	CC1607.016
CC1607.017	diet swap	CC061	5/16/16	2	F	7/8/16	2	CC1607.017
CC1607.018	diet swap	CC061	6/16/16	2	M	7/8/16	2	CC1607.018
CC1607.019	diet swap	CC037	5/16/16	2	F	7/8/16	2	CC1607.019
CC1607.020	diet swap	CC037	5/16/16	3	M	7/8/16	2	CC1607.020
CC1607.021	diet swap	CC019	3/7/16	2	F	7/15/16	1	CC1607.021
CC1607.022	diet swap	CC019	3/7/16	2	M	7/15/16	1	CC1607.022
CC1607.023	diet swap	CC028	5/16/16	2	F	7/15/16	1	CC1607.023
CC1607.024	diet swap	CC028	5/16/16	2	M	7/15/16	1	CC1607.024
CC1607.025	diet swap	CC042	3/18/16	2	M	7/15/16	1	CC1607.025
CC1607.026	diet swap	CC042	5/4/16	3	M	7/15/16	1	CC1607.026
CC1607.027	diet swap	CC061	5/16/16	2	F	7/15/16	1	CC1607.027
CC1607.028	diet swap	CC061	6/16/16	2	M	7/15/16	1	CC1607.028
CC1607.029	diet swap	CC037	5/16/16	2	F	7/15/16	1	CC1607.029
CC1607.030	diet swap	CC037	5/16/16	3	M	7/15/16	1	CC1607.030

